,index,contribution_id,features,personId,pred,pred_conf
0,0,57cd7e10fb02f601005aa890,"H. L. A. Janssen netherlands Hepatology General,Topic: Hepatology,Viral Infections,Topic: Infections,Abdominal Surgery,Therapy General,Hepatitis B,Infections / Pathogens,HepB Drugs,Topic: Gastroenterology,Therapy plain only,Hepatitis B - Drugs,Viral Hepatitis General Hepatology General,Topic: Hepatology,Viral Infections,Topic: Infections,Abdominal Surgery,Therapy General,Hepatitis B,Infections / Pathogens,HepB Drugs,Topic: Gastroenterology,Therapy plain only,Hepatitis B - Drugs,Viral Hepatitis General Hepatology General Topic: Hepatology Viral Infections Topic: Infections Abdominal Surgery Therapy General Hepatitis B Infections / Pathogens HepB Drugs Topic: Gastroenterology Therapy plain only Hepatitis B - Drugs Viral Hepatitis General",1300152178112,1300152178112,0.96
1,1,57cdbdcc66b66a0100d8253d,"H  Janssen canada Topic: Gastroenterology,Therapy plain only,Infections / Pathogens,Therapy General,Hepatology General,Topic: Infections,Abdominal Surgery,Topic: Hepatology,Viral Infections,Hepatitis B Topic: Gastroenterology,Therapy plain only,Infections / Pathogens,Therapy General,Hepatology General,Topic: Infections,Abdominal Surgery,Topic: Hepatology,Viral Infections,Hepatitis B Topic: Gastroenterology Therapy plain only Infections / Pathogens Therapy General Hepatology General Topic: Infections Abdominal Surgery Topic: Hepatology Viral Infections Hepatitis B",1300152178112,1300152178112,0.96
2,2,57cdf771fed32501000a29c0,"H. L. A. Janssen netherlands Topic: Infections,Viral Infections,Hepatology General,Hepatitis B,Therapy General,Abdominal Surgery,Topic: Hepatology,Infections / Pathogens,Topic: Gastroenterology,Therapy plain only Topic: Infections,Viral Infections,Hepatology General,Hepatitis B,Therapy General,Abdominal Surgery,Topic: Hepatology,Infections / Pathogens,Topic: Gastroenterology,Therapy plain only Topic: Infections Viral Infections Hepatology General Hepatitis B Therapy General Abdominal Surgery Topic: Hepatology Infections / Pathogens Topic: Gastroenterology Therapy plain only",1300152178112,1300152178112,0.96
3,3,57cfca358f10260100f5f3f3,"Eric P. Winer  Topic: Solid Tumors,Cancer Radiotherapy,Breast Cancer,Topic: Gynecology & Obstetrics,Cancer Treatment/Therapy General,Health,Metastases General,Solid Tumors plus Hemato-Onc [All],Oncology General,Cancer Therapy,Breast Cancer [All],Radiotherapy General,Metastases / Metastatic Cancers Topic: Solid Tumors,Cancer Radiotherapy,Breast Cancer,Topic: Gynecology & Obstetrics,Cancer Treatment/Therapy General,Health,Metastases General,Solid Tumors plus Hemato-Onc [All],Oncology General,Cancer Therapy,Breast Cancer [All],Radiotherapy General,Metastases / Metastatic Cancers Topic: Solid Tumors Cancer Radiotherapy Breast Cancer Topic: Gynecology & Obstetrics Cancer Treatment/Therapy General Health Metastases General Solid Tumors plus Hemato-Onc [All] Oncology General Cancer Therapy Breast Cancer [All] Radiotherapy General Metastases / Metastatic Cancers",10004446,10004446,0.0
4,4,57cfcdb38f10260100f5f415,"Eric P. Winer  Metastases General,Metastases / Metastatic Cancers,Health,Solid Tumors plus Hemato-Onc [All] Metastases General,Metastases / Metastatic Cancers,Health,Solid Tumors plus Hemato-Onc [All] Metastases General Metastases / Metastatic Cancers Health Solid Tumors plus Hemato-Onc [All]",10004446,10004446,0.0
5,5,57cfcdf08f10260100f5f419,"Eric P. Winer  Health,Solid Tumors plus Hemato-Onc [All],Oncology General Health,Solid Tumors plus Hemato-Onc [All],Oncology General Health Solid Tumors plus Hemato-Onc [All] Oncology General",10004446,10004446,0.0
6,6,57d12dadaa9fa70100c66319,"A. M.  Tan singapore Oncology - Outcomes/Economics,Health,Therapy plain only,Rare Cancers General,Solid Tumors plus Hemato-Onc [All],Otolaryngology,Head and Neck Cancer [All],Rare Cancers [All],Oncology - Health Outcomes,Cancer Therapy,Nasopharyngeal Cancer,Head and Neck Cancers,Patients,Ethnicity,Cancer Treatment/Therapy General,Topic: Solid Tumors,Therapy General,Pediatric Hematology/Oncology [All],Rare Cancers,Asian,Nasopharyngeal Cancer [All],Health Outcomes,Oncology General,Pediatric Oncology,Efficacy/Effectiveness General,Pediatrics Oncology - Outcomes/Economics,Health,Therapy plain only,Rare Cancers General,Solid Tumors plus Hemato-Onc [All],Otolaryngology,Head and Neck Cancer [All],Rare Cancers [All],Oncology - Health Outcomes,Cancer Therapy,Nasopharyngeal Cancer,Head and Neck Cancers,Patients,Ethnicity,Cancer Treatment/Therapy General,Topic: Solid Tumors,Therapy General,Pediatric Hematology/Oncology [All],Rare Cancers,Asian,Nasopharyngeal Cancer [All],Health Outcomes,Oncology General,Pediatric Oncology,Efficacy/Effectiveness General,Pediatrics Oncology - Outcomes/Economics Health Therapy plain only Rare Cancers General Solid Tumors plus Hemato-Onc [All] Otolaryngology Head and Neck Cancer [All] Rare Cancers [All] Oncology - Health Outcomes Cancer Therapy Nasopharyngeal Cancer Head and Neck Cancers Patients Ethnicity Cancer Treatment/Therapy General Topic: Solid Tumors Therapy General Pediatric Hematology/Oncology [All] Rare Cancers Asian Nasopharyngeal Cancer [All] Health Outcomes Oncology General Pediatric Oncology Efficacy/Effectiveness General Pediatrics",TR_APAC_113,TR_APAC_113,0.0
7,7,57d168e9103978010049f7d2,"Q  Li china Peginterferon Alfa-2a (PEGASYS®),HCV Drugs,Topic: Hepatology,Viral Hepatitis General,Health,Therapy General,Abdominal Surgery,Viral Infections,HepB Drugs,Therapy plain only,Hepatitis B - Drugs,Topic: Infections,Patients,Resistance General,Infections / Pathogens,Hepatitis B,Topic: Gastroenterology,Interferon alpha Drugs,Microbiology General,Hepatology General Peginterferon Alfa-2a (PEGASYS®),HCV Drugs,Topic: Hepatology,Viral Hepatitis General,Health,Therapy General,Abdominal Surgery,Viral Infections,HepB Drugs,Therapy plain only,Hepatitis B - Drugs,Topic: Infections,Patients,Resistance General,Infections / Pathogens,Hepatitis B,Topic: Gastroenterology,Interferon alpha Drugs,Microbiology General,Hepatology General Peginterferon Alfa-2a (PEGASYS®) HCV Drugs Topic: Hepatology Viral Hepatitis General Health Therapy General Abdominal Surgery Viral Infections HepB Drugs Therapy plain only Hepatitis B - Drugs Topic: Infections Patients Resistance General Infections / Pathogens Hepatitis B Topic: Gastroenterology Interferon alpha Drugs Microbiology General Hepatology General",ASSO_CN_8,ASSO_CN_8,0.02
8,8,57d16bd9103978010049f824,"Eric P. Winer  Topic: Solid Tumors,Solid Tumors plus Hemato-Onc [All],Breast Cancer [All],Topic: Gynecology & Obstetrics,Oncology General Topic: Solid Tumors,Solid Tumors plus Hemato-Onc [All],Breast Cancer [All],Topic: Gynecology & Obstetrics,Oncology General Topic: Solid Tumors Solid Tumors plus Hemato-Onc [All] Breast Cancer [All] Topic: Gynecology & Obstetrics Oncology General",10004446,10004446,0.0
9,9,57d173bbba01120100415086,"Eric  Winer professor, harvard medical school Topic: Solid Tumors,Therapy General,Oncology General,Breast Cancer [All],Oncology - ERB Family - HER2 ,Topic: Surgery,Surgery,Solid Tumors plus Hemato-Onc [All],Adjuvant Cancer Therapy,Topic: Gynecology & Obstetrics,AdjuvantTreatment,Therapy plain only,ErbBPathway,Oncology - ERB Family,Breast Cancer - Adjuvant Therapy,Molecular Targets in Oncology,Adjuvant,HER2 Topic: Solid Tumors,Therapy General,Oncology General,Breast Cancer [All],Oncology - ERB Family - HER2 ,Topic: Surgery,Surgery,Solid Tumors plus Hemato-Onc [All],Adjuvant Cancer Therapy,Topic: Gynecology & Obstetrics,AdjuvantTreatment,Therapy plain only,ErbBPathway,Oncology - ERB Family,Breast Cancer - Adjuvant Therapy,Molecular Targets in Oncology,Adjuvant,HER2 Topic: Solid Tumors Therapy General Oncology General Breast Cancer [All] Oncology - ERB Family - HER2  Topic: Surgery Surgery Solid Tumors plus Hemato-Onc [All] Adjuvant Cancer Therapy Topic: Gynecology & Obstetrics AdjuvantTreatment Therapy plain only ErbBPathway Oncology - ERB Family Breast Cancer - Adjuvant Therapy Molecular Targets in Oncology Adjuvant HER2",10004446,10004446,0.0
